Clinic code,clinic name,doctor code,doctor name
R011DIT,Nutricare,E2395,Farah Hachem
R011DIT,Nutricare,6015,Fatme Khreis
R011DIT,Nutricare,E2728,Heba Ben Salamah
R002OBG,Obstetrics & Gynecology,E1759,Dr. Abubakr Elmardi
R002OBG,Obstetrics & Gynecology,E2961,Dr. Eman Alsayegh
R002OBG,Obstetrics & Gynecology,E1859,Dr. Essam Sakr
R002OBG,Obstetrics & Gynecology,E2736,Dr. Fariba Vadoudi
R002OBG,Obstetrics & Gynecology,E1897,Dr. Fatima Sultan
R002OBG,Obstetrics & Gynecology,E3329,Dr. Hafsah Hussain
R002OBG,Obstetrics & Gynecology,E0404,Dr. Khalida Al Mujaibel
R002OBG,Obstetrics & Gynecology,E1796,Dr. Lobna Ibrahim Bassiouni
R002OBG,Obstetrics & Gynecology,E1223,Dr. Mona Abou Taam
R002OBG,Obstetrics & Gynecology,PT081,Dr. Nada Al Ibrahim
R002OBG,Obstetrics & Gynecology,PT082,Dr. Nourah Al Ibrahim
R002OBG,Obstetrics & Gynecology,E3193,Dr. Salma Ibrahim
R002OBG,Obstetrics & Gynecology,E2084,Dr. Samar Nagaty
R002OBG,Obstetrics & Gynecology,E1535,Dr. Zeinab Sholkany M. Saad
R002IVF,Reproductive Medicine & IVF,PT023,Dr. Elisavet Angelaki
R002IVF,Reproductive Medicine & IVF,PT022,Dr. Naser Al-Azemi
R002PED,Pediatrics,PT036,Dr. Ahmad Abdulrahman Al Mulla
R002PED,Pediatrics,PT042,Dr. Ahmad Al Mosawi
R002PED,Pediatrics,E0723,Dr. Ehab Atteya
R002PED,Pediatrics,PT069,Dr. Fahed Abdulaziz Aljaser
R002PED,Pediatrics,E3407,Dr. Haifa Osman ElHassan
R002PED,Pediatrics,PT071,Dr. Mohammad Ebrahim
R002PED,Pediatrics,PT047,Dr. Omar Alkandari
R002PED,Pediatrics,E1890,Dr. Rajendra C. Mishra
R002PED,Pediatrics,E1095,Dr. Roland Waked
R002PED,Pediatrics,PT038,Dr. Wasmi Al Fadhli
R01NEO,Neonatal,E3208,Dr. Deepak Vasudev
R01NEO,Neonatal,E3267,Dr. Eyhab Bader
R01NEO,Neonatal,PT080,Dr. Mazen Alessa
R01NEO,Neonatal,E2768,Dr. Mohamad Hassoun
R01ERC,Internal Medicine,E3195,Dr. Abdulaziz Ramadhan
R01ERC,Internal Medicine,PT043,Dr. Ahmed Al Qallaf
R01ERC,Internal Medicine,PT060,Dr. Ali Ibrahim Aldei
R01ERC,Internal Medicine,PT053,Dr. Alia Ali Ibrahim
